             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 
      4.6701020        0.670000          237.22           20.81         0.04411            5.83    1.003+0.000j
      4.6701020        0.680000          241.84           20.34         0.04415            5.97    1.000+0.000j
      4.6701020        0.690000          246.65           19.89         0.04422            6.14    1.002+0.000j
      4.6701020        0.700000          251.67           19.48         0.04429            6.27    1.003+0.000j
      4.6701020        0.710000          256.87           19.07         0.04436            6.46    1.208+0.000j
      4.6701020        0.720000          262.27           18.70         0.04442            6.62    1.003+0.000j
      4.6701020        0.730000          267.86           18.35         0.04450            6.82    1.009+0.000j
      4.6701020        0.740000          273.63           18.02         0.04456            6.98    1.015+0.000j
      4.6701020        0.750000          279.59           17.71         0.04463            7.14    1.003+0.000j
      4.6701020        0.760000          285.73           17.43         0.04469            7.33    1.008+0.000j
      4.6701020        0.770000          292.05           17.16         0.04477            7.51    1.036+0.000j
      4.6701020        0.780000          298.56           16.91         0.04484            7.66    1.005+0.000j
      4.6701020        0.790000          305.23           16.68         0.04490            7.88    1.013+0.000j
      4.6701020        0.800000          312.09           16.47         0.04498            8.07    1.000+0.000j
      4.6701020        0.810000          319.11           16.27         0.04504            8.26    1.046+0.000j
      4.6701020        0.820000          326.31           16.11         0.04508            8.45    1.000+0.000j
      4.6701020        0.830000          333.67           15.92         0.04519            8.66    1.003+0.000j
      4.6701020        0.840000          341.20           15.77         0.04526            8.87    1.045+0.000j
      4.6701020        0.850000          348.90           15.63         0.04534            9.09    1.003+0.000j
      4.6701020        0.860000          356.75           15.51         0.04540            9.27    1.002+0.000j
      4.6701020        0.870000          364.77           15.39         0.04547            9.48    1.002+0.000j
      4.6701020        0.880000          372.94           15.29         0.04554            9.70    1.004+0.000j
      4.6701020        0.890000          381.26           15.20         0.04560            9.90    1.000+0.000j
      4.6701020        0.900000          389.74           15.12         0.04569           10.17    1.001+0.000j
      4.6701020        0.910000          398.37           15.06         0.04575           10.36    1.001+0.000j
      4.6701020        0.920000          407.15           15.01         0.04582           10.56    1.005+0.000j
      4.6701020        0.930000          416.07           14.96         0.04590           10.80    1.002+0.000j
      4.6701020        0.940000          425.14           14.93         0.04597           11.02    1.023+0.000j
      4.6701020        0.950000          434.35           14.91         0.04606           11.29    1.015+0.000j
      4.6701020        0.960000          443.69           14.89         0.04611           11.48    1.004+0.000j
      4.6701020        0.970000          453.18           14.89         0.04619           11.73    1.001+0.000j
      4.6701020        0.980000          462.79           14.89         0.04624           11.96    1.008+0.000j
      4.6701020        0.990000          472.54           14.91         0.04634           12.23    1.000+0.000j
      4.6701040        0.000000          487.00          354.52         0.03869            0.50    1.000+0.000j
      4.6701040        0.010000          474.98          342.46         0.03882            0.42    1.002+0.000j
      4.6701040        0.020000          463.02          330.42         0.03896            0.35    1.036+0.000j
      4.6701040        0.030000          451.15          318.39         0.03913            0.28    1.001+0.000j
      4.6701040        0.040000          439.37          306.42         0.03923            0.23    1.085+0.000j
      4.6701040        0.050000          427.71          294.50         0.03938            0.20    1.001+0.000j
      4.6701040        0.060000          416.17          282.66         0.03952            0.17    1.001+0.000j
      4.6701040        0.070000          404.78          270.94         0.03967            0.16    1.002+0.000j
      4.6701040        0.080000          393.56          259.35         0.03980            0.16    1.006+0.000j
      4.6701040        0.090000          382.51          247.91         0.03994            0.18    1.003+0.000j
      4.6701040        0.100000          371.66          236.66         0.04008            0.20    1.002+0.000j
      4.6701040        0.110000          361.03          225.63         0.04022            0.24    1.003+0.000j
      4.6701040        0.120000          350.63          214.85         0.04034            0.29    1.004+0.000j
      4.6701040        0.130000          340.48          204.36         0.04048            0.35    1.001+0.000j
      4.6701040        0.140000          330.60          194.16         0.04062            0.42    1.003+0.000j
      4.6701040        0.150000          320.99          184.31         0.04073            0.50    1.003+0.000j
      4.6701040        0.160000          311.68          174.79         0.04084            0.58    1.000+0.000j
      4.6701040        0.170000          302.66          165.68         0.04095            0.66    1.000+0.000j
      4.6701040        0.180000          293.96          156.92         0.04105            0.75    1.003+0.000j
