             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay       chi^2_Vud       chi^2_Vus       chi^2_Vub
      4.6701000        0.940000          450.82           16.77         0.02817            6.55           6.069           0.000           0.000           0.000           0.000           1.531          10.330           0.000           0.000           0.000           0.000           4.007           0.000           0.000           2.642           0.658         215.161
      4.6701000        0.950000          460.05           17.03         0.02817            6.78           5.852           0.000           0.000           0.000           0.000           1.531          10.330           0.000           0.000           0.000           0.000           4.021           0.000           0.000           2.685           0.700         224.295
      4.6701000        0.960000          469.44           17.30         0.02817            7.00           7.476           0.000           0.000           0.000           0.000           1.529          10.330           0.000           0.000           0.000           0.000           4.036           0.000           0.000           2.724           0.739         233.595
      4.6701000        0.970000          479.02           17.56         0.02817            7.23           7.658           0.000           0.000           0.000           0.000           1.529          10.330           0.000           0.000           0.000           0.000           4.051           0.000           0.000           2.765           0.780         242.953
      4.6701000        0.980000          488.79           17.85         0.02817            7.18           9.825           0.000           0.000           0.000           0.000           1.529          10.328           0.000           0.000           0.000           0.000           4.066           0.000           0.000           2.752           0.772         252.586
      4.6701000        0.990000          499.22           16.78         0.02817            7.06           6.617           0.000           0.000           0.000           0.000           1.530          10.331           0.000           0.000           0.000           1.397           4.138           0.000           0.000           2.729           0.752         253.120
      4.6701000        1.000000          509.10           16.82         0.02817            7.27           9.192           0.000           0.000           0.000           0.000           1.529          10.329           0.000           0.000           0.000           1.482           4.165           0.000           0.000           2.765           0.787         261.023
      4.6701020        0.010000          552.96          342.42         0.02809            3.58           5.489           0.000           0.000          50.251           0.000           1.531          10.302           0.000           0.000           0.000           6.016           2.263           0.000           0.000           0.704           0.402           6.525
      4.6701020        0.020000          539.05          330.37         0.02809            3.44           9.894           0.000           0.000          48.341           0.000           1.528          10.303           0.000           0.000           0.000           5.723           2.278           0.000           0.000           0.735           0.365           7.143
      4.6701020        0.030000          525.17          318.37         0.02809            3.27           4.530           0.000           0.000          46.376           0.000           1.534          10.303           0.000           0.000           0.000           5.436           2.293           0.000           0.000           0.771           0.324           7.745
      4.6701020        0.040000          511.36          306.45         0.02810            3.15           9.202           0.000           0.000          44.373           0.000           1.527          10.303           0.000           0.000           0.000           5.147           2.310           0.000           0.000           0.799           0.294           8.328
      4.6701020        0.050000          497.65          294.75         0.02810            3.05           8.102           0.000           0.000          42.339           0.000           1.527          10.303           0.000           0.000           0.000           4.946           2.321           0.000           0.000           0.826           0.266           8.656
      4.6701020        0.060000          484.07          282.74         0.02810            2.86           9.316           0.000           0.000          40.327           0.000           1.528          10.304           0.000           0.000           0.000           4.511           2.347           0.000           0.000           0.883           0.216           9.654
      4.6701020        0.070000          470.64          271.34         0.02810            2.81           5.924           0.000           0.000          38.292           0.000           1.530          10.304           0.000           0.000           0.000           4.323           2.359           0.000           0.000           0.901           0.201           9.877
      4.6701020        0.080000          457.42          259.89         0.02808            2.69           9.732           0.000           0.000          36.290           0.000           1.528          10.304           0.000           0.000           0.000           4.056           2.377           0.000           0.000           0.948           0.168          10.339
      4.6701020        0.090000          444.41          248.67         0.02810            2.60           6.574           0.000           0.000          34.319           0.000           1.528          10.305           0.000           0.000           0.000           3.806           2.394           0.000           0.000           0.983           0.142          10.702
      4.6701020        0.100000          431.65          237.46         0.02811            2.53           8.341           0.000           0.000          32.404           0.000           1.527          10.305           0.000           0.000           0.000           3.513           2.416           0.000           0.000           1.018           0.120          11.190
      4.6701020        0.110000          419.16          226.88         0.02811            2.46           5.792           0.000           0.000          30.512           0.000           1.530          10.305           0.000           0.000           0.000           3.339           2.429           0.000           0.000           1.057           0.098          11.215
      4.6701020        0.120000          406.97          216.26         0.02811            2.40           9.978           0.000           0.000          28.698           0.000           1.528          10.305           0.000           0.000           0.000           3.102           2.448           0.000           0.000           1.104           0.076          11.453
      4.6701020        0.130000          395.09          206.12         0.02811            2.38           9.956           0.000           0.000          26.937           0.000           1.528          10.306           0.000           0.000           0.000           2.911           2.464           0.000           0.000           1.124           0.067          11.426
      4.6701020        0.140000          383.56          196.20         0.02811            2.34           6.911           0.000           0.000          25.247           0.000           1.528          10.306           0.000           0.000           0.000           2.720           2.481           0.000           0.000           1.163           0.052          11.389
      4.6701020        0.150000          372.37          186.60         0.02811            2.32           6.845           0.000           0.000          23.628           0.000           1.528          10.307           0.000           0.000           0.000           2.537           2.498           0.000           0.000           1.195           0.041          11.270
      4.6701020        0.160000          361.55          177.41         0.02812            2.30           9.858           0.000           0.000          22.076           0.000           1.528          10.306           0.000           0.000           0.000           2.379           2.514           0.000           0.000           1.226           0.032          11.010
      4.6701020        0.170000          351.10          168.43         0.02812            2.30           8.451           0.000           0.000          20.606           0.000           1.527          10.307           0.000           0.000           0.000           2.209           2.532           0.000           0.000           1.259           0.023          10.769
      4.6701020        0.180000          341.04          160.03         0.02812            2.29           5.939           0.000           0.000          19.196           0.000           1.529          10.308           0.000           0.000           0.000           2.082           2.546           0.000           0.000           1.291           0.016          10.299
      4.6701020        0.190000          331.37          151.61         0.02812            2.30           6.913           0.000           0.000          17.882           0.000           1.528          10.308           0.000           0.000           0.000           1.915           2.565           0.000           0.000           1.333           0.009          10.004
      4.6701020        0.200000          322.10          143.99         0.02812            2.30           8.531           0.000           0.000          16.615           0.000           1.527          10.308           0.000           0.000           0.000           1.809           2.579           0.000           0.000           1.340           0.008           9.372
      4.6701020        0.210000          313.24          136.57         0.02812            2.31           3.014           0.000           0.000          15.428           0.000           1.543          10.308           0.000           0.000           0.000           1.693           2.594           0.000           0.000           1.371           0.005           8.789
      4.6701020        0.220000          304.74          124.00         0.02812            2.30           1.003           0.000           0.000          14.648           0.000           1.573          10.307           0.000           0.000           0.000           0.000           2.686           0.000           0.000           1.341           0.008          11.179
