             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 
     93.4421782        5.795000          355.69           62.09         0.03573            2.59    9.966+0.000j
     93.4421782        5.800000          357.57           63.14         0.03568            2.67    9.794+0.000j
     93.4421782        5.805000          359.54           64.19         0.03559            2.77    9.933+0.000j
     93.4421782        5.810000          361.59           65.20         0.03552            2.88    9.888+0.000j
     93.4421782        5.815000          363.72           66.21         0.03544            2.99    9.761+0.000j
     93.4421782        5.820000          365.94           67.17         0.03538            3.09    9.995+0.000j
     93.4421782        5.825000          368.24           68.17         0.03530            3.19    9.646+0.000j
     93.4421782        5.830000          370.62           69.11         0.03521            3.31    9.819+0.000j
     93.4421782        5.835000          373.10           70.05         0.03514            3.42    9.936+0.000j
     93.4421782        5.840000          375.65           70.96         0.03507            3.54    9.876+0.000j
     93.4421782        5.845000          378.29           71.84         0.03499            3.65    9.993+0.000j
     93.4421782        5.850000          381.02           72.69         0.03491            3.78    9.770+0.000j
     93.4421782        5.855000          383.83           73.49         0.03483            3.92    9.292+0.000j
     93.4421782        5.860000          386.73           74.25         0.03474            4.03    9.928+0.000j
     93.4421782        5.865000          389.71           74.99         0.03467            4.16    9.952+0.000j
     93.4421782        5.870000          392.78           75.67         0.03458            4.30    9.703+0.000j
     93.4421782        5.875000          395.93           76.29         0.03449            4.44    9.603+0.000j
     93.4421782        5.880000          399.16           76.85         0.03441            4.57    9.994+0.000j
     93.4421782        5.885000          402.48           77.37         0.03432            4.72    9.915+0.000j
     93.4421782        5.890000          405.87           77.80         0.03423            4.86    9.156+0.000j
     93.4421782        5.895000          409.35           78.18         0.03414            5.02    9.824+0.000j
     93.4421782        5.900000          412.92           78.50         0.03406            5.17    9.787+0.000j
     93.4421782        5.905000          416.56           78.71         0.03395            5.34    9.837+0.000j
     93.4421782        5.910000          420.27           78.84         0.03386            5.49    9.934+0.000j
     93.4421782        5.915000          424.07           78.88         0.03377            5.66    9.863+0.000j
     93.4421782        5.920000          427.94           78.82         0.03368            5.83    9.966+0.000j
     93.4421782        5.925000          431.88           78.65         0.03358            6.01    9.873+0.000j
     93.4421782        5.930000          435.90           78.41         0.03349            6.17    9.867+0.000j
     93.4421782        5.935000          439.98           78.06         0.03339            6.35    9.910+0.000j
     93.4421782        5.940000          444.13           77.53         0.03327            6.54    9.778+0.000j
     93.4421782        5.945000          448.35           76.92         0.03320            6.71    9.007+0.000j
     93.4421782        5.950000          452.62           76.21         0.03309            6.91    9.441+0.000j
     93.4421782        5.955000          456.96           75.36         0.03299            7.09    9.917+0.000j
     93.4421782        5.960000          461.35           74.38         0.03289            7.28    9.979+0.000j
     93.4421782        5.965000          465.79           73.27         0.03278            7.47    9.964+0.000j
     93.4421782        5.970000          470.28           72.08         0.03267            7.66    9.862+0.000j
     93.4421782        5.975000          474.81           70.72         0.03259            7.86    9.719+0.000j
     93.4421782        5.980000          479.39           69.31         0.03250            8.04    9.986+0.000j
     93.4421782        5.985000          484.00           67.75         0.03240            8.23   10.000+0.000j
     93.4421782        5.990000          488.64           66.11         0.03229            8.43    9.931+0.000j
     93.4421782        5.995000          493.32           64.35         0.03221            8.60    9.861+0.000j
     93.4421782        6.000000          498.01           62.53         0.03213            8.78    9.391+0.000j
     93.4421782        6.005000          502.73           60.66         0.03203            8.97    9.861+0.000j
     93.4421782        6.010000          507.46           58.68         0.03196            9.16    9.614+0.000j
     93.4421782        6.015000          512.21           56.68         0.03188            9.31    9.706+0.000j
     93.4421782        6.020000          516.97           54.65         0.03180            9.47    9.679+0.000j
     93.4421782        6.025000          521.73           52.54         0.03170            9.62    9.874+0.000j
     93.4421782        6.030000          526.50           50.39         0.03164            9.78    9.931+0.000j
     93.4421782        6.035000          531.26           48.32         0.03156            9.93    9.940+0.000j
     93.4421782        6.040000          536.02           46.20         0.03150           10.06    9.991+0.000j
     93.4421782        6.045000          540.78           44.09         0.03143           10.20    9.716+0.000j
     93.4421782        6.050000          545.53           42.01         0.03138           10.31    9.966+0.000j
     93.4421782        6.055000          550.27           39.93         0.03131           10.42    9.734+0.000j
     93.4421782        6.060000          554.99           37.90         0.03127           10.53    9.867+0.000j
     93.4421782        6.065000          559.71           35.91         0.03123           10.62    9.925+0.000j
     93.4421782        6.070000          564.40           33.94         0.03118           10.70    9.948+0.000j
     93.4421782        6.075000          569.09           32.00         0.03116           10.77    9.871+0.000j
     93.4421782        6.080000          573.75           30.14         0.03114           10.85    9.905+0.000j
     93.4421782        6.085000          578.40           28.32         0.03109           10.91    9.992+0.000j
     93.4421782        6.090000          583.03           26.56         0.03106           10.97    9.913+0.000j
     93.4421782        6.095000          587.64           24.85         0.03103           11.02    9.600+0.000j
     93.4421782        6.100000          592.23           23.21         0.03101           11.04    9.944+0.000j
     93.4421782        6.105000          596.81           21.63         0.03100           11.09    9.983+0.000j
     93.4421782        6.110000          601.36           20.09         0.03098           11.11    9.875+0.000j
     93.4421782        6.115000          605.90           18.61         0.03097           11.11    9.994+0.000j
     93.4421782        6.120000          610.42           17.22         0.03097           11.13    9.823+0.000j
     93.4421782        6.125000          614.92           15.87         0.03097           11.12    9.961+0.000j
     93.4421782        6.130000          619.41           14.59         0.03100           11.05    9.951+0.000j
     93.4421782        6.135000          623.88           13.38         0.03098           11.10    9.976+0.000j
     93.4421782        6.140000          628.34           12.20         0.03099           11.09    9.769+0.000j
     93.4421782        6.145000          632.79           11.13         0.03101           11.03    9.970+0.000j
     93.4421782        6.150000          637.22           10.13         0.03105           10.99    9.996+0.000j
     93.4421782        6.155000          641.65            9.13         0.03103           10.97    9.999+0.000j
     93.4421782        6.160000          646.06            8.21         0.03106           10.89    9.988+0.000j
     93.4421782        6.165000          650.48            7.35         0.03109           10.83    9.936+0.000j
     93.4421782        6.170000          654.88            6.56         0.03111           10.77    9.666+0.000j
     93.4421782        6.175000          659.29            5.81         0.03110           10.70    9.426+0.000j
     93.4421782        6.180000          663.69            5.12         0.03118           10.61    9.883+0.000j
     93.4421782        6.185000          668.10            4.48         0.03123           10.54    9.867+0.000j
     93.4421782        6.190000          672.51            3.88         0.03127           10.43    9.887+0.000j
     93.4421782        6.195000          676.93            3.37         0.03132           10.31    9.989+0.000j
     93.4432673        5.700000          314.92           38.76         0.03713            1.05    9.928+0.000j
     93.4432673        5.705000          315.17           39.71         0.03707            1.11    9.864+0.000j
     93.4432673        5.710000          315.50           40.66         0.03700            1.17    9.874+0.000j
     93.4432673        5.715000          315.91           41.59         0.03696            1.23    9.840+0.000j
     93.4432673        5.720000          316.39           42.60         0.03688            1.29    9.992+0.000j
     93.4432673        5.725000          316.96           43.56         0.03679            1.36    8.841+0.000j
     93.4432673        5.730000          317.59           44.53         0.03674            1.42    9.998+0.000j
     93.4432673        5.735000          318.31           45.50         0.03667            1.49    9.628+0.000j
     93.4432673        5.740000          319.10           46.47         0.03660            1.56    9.584+0.000j
     93.4432673        5.745000          319.98           47.50         0.03653            1.63    9.817+0.000j
     93.4432673        5.750000          320.93           48.48         0.03647            1.71    9.683+0.000j
     93.4432673        5.755000          321.96           49.47         0.03642            1.79    9.436+0.000j
     93.4432673        5.760000          323.07           50.46         0.03634            1.86    9.294+0.000j
     93.4432673        5.765000          324.26           51.45         0.03628            1.93    9.905+0.000j
     93.4432673        5.770000          325.54           52.46         0.03621            2.00    9.994+0.000j
     93.4432673        5.775000          326.89           53.46         0.03613            2.10    9.969+0.000j
     93.4432673        5.780000          328.32           54.44         0.03606            2.19    9.574+0.000j
     93.4432673        5.785000          329.84           55.42         0.03599            2.27    8.813+0.000j
     93.4432673        5.790000          331.44           56.42         0.03592            2.36    9.992+0.000j
     93.4432673        5.795000          333.12           57.39         0.03584            2.46    9.949+0.000j
     93.4432673        5.800000          334.89           58.35         0.03578            2.55    9.999+0.000j
     93.4432673        5.805000          336.73           59.28         0.03571            2.64    9.937+0.000j
     93.4432673        5.810000          338.66           60.27         0.03563            2.74    9.971+0.000j
     93.4432673        5.815000          340.68           61.18         0.03557            2.83    9.903+0.000j
     93.4432673        5.820000          342.78           62.07         0.03547            2.96    9.979+0.000j
     93.4432673        5.825000          344.96           62.99         0.03543            3.05    9.972+0.000j
     93.4432673        5.830000          347.22           63.86         0.03533            3.17    9.801+0.000j
     93.4432673        5.835000          349.57           64.70         0.03525            3.28    9.911+0.000j
     93.4432673        5.840000          352.01           65.60         0.03518            3.39    9.985+0.000j
     93.4432673        5.845000          354.53           66.35         0.03510            3.50    9.763+0.000j
     93.4432673        5.850000          357.13           67.12         0.03503            3.62    9.976+0.000j
     93.4432673        5.855000          359.82           67.84         0.03494            3.74    9.990+0.000j
     93.4432673        5.860000          362.59           68.54         0.03484            3.88    9.383+0.000j
     93.4432673        5.865000          365.44           69.19         0.03479            3.97    9.095+0.000j
     93.4432673        5.870000          368.38           69.84         0.03467            4.14    9.935+0.000j
     93.4432673        5.875000          371.40           70.41         0.03458            4.28    9.760+0.000j
     93.4432673        5.880000          374.50           70.89         0.03453            4.39    9.959+0.000j
     93.4432673        5.885000          377.69           71.29         0.03444            4.54    9.988+0.000j
     93.4432673        5.890000          380.95           71.73         0.03436            4.68    8.620+0.000j
     93.4432673        5.895000          384.30           72.04         0.03426            4.83    9.897+0.000j
     93.4432673        5.900000          387.72           72.29         0.03418            4.97    9.689+0.000j
     93.4432673        5.905000          391.23           72.48         0.03408            5.13    9.997+0.000j
     93.4432673        5.910000          394.81           72.57         0.03400            5.29    9.779+0.000j
     93.4432673        5.915000          398.46           72.61         0.03390            5.45    9.962+0.000j
     93.4432673        5.920000          402.19           72.49         0.03380            5.57    9.526+0.000j
     93.4432673        5.925000          406.00           72.37         0.03372            5.77    9.914+0.000j
     93.4432673        5.930000          409.87           72.14         0.03367            5.92    9.320+0.000j
     93.4432673        5.935000          413.81           71.74         0.03354            6.10    9.686+0.000j
     93.4432673        5.940000          417.82           71.28         0.03341            6.30    9.892+0.000j
     93.4432673        5.945000          421.89           70.70         0.03333            6.47    9.874+0.000j
     93.4432673        5.950000          426.02           70.09         0.03324            6.65    9.981+0.000j
     93.4432673        5.955000          430.21           69.27         0.03313            6.83    8.878+0.000j
     93.4432673        5.960000          434.45           68.37         0.03305            7.00    9.525+0.000j
     93.4432673        5.965000          438.75           67.37         0.03294            7.19    9.840+0.000j
     93.4432673        5.970000          443.10           66.28         0.03285            7.37    9.909+0.000j
     93.4432673        5.975000          447.49           65.03         0.03276            7.55    9.974+0.000j
     93.4432673        5.980000          451.92           63.75         0.03267            7.73    9.930+0.000j
     93.4432673        5.985000          456.40           62.30         0.03257            7.93    9.982+0.000j
     93.4432673        5.990000          460.90           60.83         0.03248            8.09    9.832+0.000j
     93.4432673        5.995000          465.44           59.25         0.03238            8.27    9.726+0.000j
     93.4432673        6.000000          470.00           57.60         0.03231            8.45    9.958+0.000j
     93.4432673        6.005000          474.59           55.88         0.03222            8.61    9.979+0.000j
     93.4432673        6.010000          479.20           54.12         0.03213            8.78    9.962+0.000j
