             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 
      4.7269802        4.060000          175.18           84.44         0.00142            7.84    9.986+0.000j
      4.7269802        4.072000          173.89           82.61         0.00144            7.81    9.999+0.000j
      4.7269802        4.084000          172.69           80.81         0.00147            7.79    9.998+0.000j
      4.7269802        4.096000          171.59           79.06         0.00149            7.78    9.997+0.000j
      4.7269802        4.108000          170.59           77.35         0.00152            7.77    9.984+0.000j
      4.7269802        4.120000          169.69           75.67         0.00155            7.77   10.000+0.000j
      4.7269802        4.132000          168.89           74.04         0.00158            7.77   10.000+0.000j
      4.7269802        4.144000          168.20           72.45         0.00161            7.78    9.994+0.000j
      4.7269802        4.156000          167.62           70.89         0.00164            7.79    9.998+0.000j
      4.7269802        4.168000          167.16           69.38         0.00167            7.81    9.999+0.000j
      4.7269802        4.180000          166.80           67.90         0.00171            7.83    9.999+0.000j
      4.7269802        4.192000          166.57           66.47         0.00174            7.87   10.000+0.000j
      4.7269802        4.204000          166.45           65.07         0.00177            7.90    9.991+0.000j
      4.7269802        4.216000          166.46           63.71         0.00181            7.95   10.000+0.000j
      4.7269802        4.228000          166.59           62.38         0.00185            8.00    9.998+0.000j
      4.7269802        4.240000          166.85           61.10         0.00188            8.06    9.994+0.000j
      4.7269802        4.252000          167.23           59.85         0.00192            8.12    9.991+0.000j
      4.7269802        4.264000          167.76           58.64         0.00196            8.19    9.998+0.000j
      4.7269802        4.276000          168.41           57.46         0.00200            8.27   10.000+0.000j
      4.7269802        4.288000          169.21           56.32         0.00204            8.36   10.000+0.000j
      4.7269802        4.300000          170.15           55.22         0.00209            8.45   10.000+0.000j
      4.7269802        4.312000          171.23           54.15         0.00213            8.56   10.000+0.000j
      4.7269802        4.324000          172.46           53.12         0.00217            8.67    9.999+0.000j
      4.7269802        4.336000          173.84           52.12         0.00222            8.78    9.994+0.000j
      4.7269802        4.348000          175.37           51.16         0.00227            8.91    9.998+0.000j
      4.7269802        4.360000          177.06           50.23         0.00231            9.04    9.999+0.000j
      4.7269802        4.372000          178.90           49.34         0.00236            9.19    9.998+0.000j
      4.7269802        4.384000          180.91           48.48         0.00241            9.33   10.000+0.000j
      4.7269802        4.396000          183.08           47.65         0.00247            9.49   10.000+0.000j
      4.7269802        4.408000          185.41           46.86         0.00252            9.65    9.999+0.000j
      4.7269802        4.420000          187.91           46.10         0.00257            9.82   10.000+0.000j
      4.7269802        4.432000          190.58           45.37         0.00263            9.99    9.999+0.000j
      4.7269802        4.444000          193.43           44.68         0.00268           10.18    9.998+0.000j
      4.7269802        4.456000          196.44           44.02         0.00274           10.37   10.000+0.000j
      4.7269802        4.468000          199.64           43.38         0.00280           10.56   10.000+0.000j
      4.7269802        4.480000          203.01           42.78         0.00286           10.76    9.997+0.000j
      4.7269802        4.492000          206.56           42.22         0.00292           10.97    9.999+0.000j
      4.7269802        4.504000          210.30           41.68         0.00298           11.17   10.000+0.000j
      4.7269802        4.516000          214.21           41.17         0.00305           11.37    9.998+0.000j
      4.7269802        4.528000          218.31           40.70         0.00311           11.61   10.000+0.000j
      4.7269802        4.540000          222.60           40.25         0.00318           11.81    9.999+0.000j
      4.7269802        4.552000          227.07           39.84         0.00325           12.03   10.000+0.000j
      4.7269802        4.564000          231.73           39.45         0.00332           12.25   10.000+0.000j
