             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay
     93.4300000        6.038000         1037.21          124.78         0.02804           15.73           1.830           0.000           0.000          25.543           0.000           1.654          10.302           0.000           0.000           0.000          26.246           4.954           0.000           0.000
     93.4300000        6.044000         1045.89          113.73         0.02795           16.02           8.445           0.000           0.000          26.429           0.000           1.653          10.302           0.000           0.000           0.000          26.306           4.986           0.000           0.000
     93.4300000        6.050000         1054.35          103.99         0.02805           16.16           2.530           0.000           0.000          27.260           0.000           1.654          10.302           0.000           0.000           0.000          26.360           5.019           0.000           0.000
     93.4300000        6.056000         1062.60           95.06         0.02805           16.28           1.660           0.000           0.000          28.076           0.000           1.654          10.302           0.000           0.000           0.000          26.411           5.047           0.000           0.000
     93.4300000        6.062000         1070.67           87.11         0.02737           16.85           1.456           0.000           0.000          28.867           0.000           1.654          10.302           0.000           0.000           0.000          26.458           5.072           0.000           0.000
     93.4300000        6.068000         1078.53           79.76         0.02788           16.69           1.295           0.000           0.000          29.646           0.000           1.655          10.302           0.000           0.000           0.000          26.497           5.094           0.000           0.000
     93.4300000        6.074000         1086.21           73.01         0.02805           16.58           2.904           0.000           0.000          30.418           0.000           1.653          10.302           0.000           0.000           0.000          26.540           5.113           0.000           0.000
     93.4300000        6.080000         1093.72           66.97         0.02803           16.66           3.506           0.000           0.000          31.165           0.000           1.653          10.302           0.000           0.000           0.000          26.578           5.131           0.000           0.000
     93.4300000        6.086000         1101.14           64.74         0.02805           16.95           9.373           0.000           0.000          31.837           0.000           1.653          10.302           0.000           0.000           0.000          26.558           5.135           0.000           0.000
     93.4300000        6.092000         1108.24           56.01         0.02801           16.72           1.214           0.000           0.000          32.616           0.000           1.655          10.302           0.000           0.000           0.000          26.646           5.164           0.000           0.000
     93.4300000        6.098000         1115.26           51.06         0.02774           17.13           7.438           0.000           0.000          33.341           0.000           1.653          10.302           0.000           0.000           0.000          26.676           5.175           0.000           0.000
     93.4300000        6.104000         1122.12           46.76         0.02804           16.71           2.575           0.000           0.000          34.034           0.000           1.654          10.302           0.000           0.000           0.000          26.705           5.189           0.000           0.000
     93.4300000        6.110000         1128.85           42.65         0.02804           16.72           3.624           0.000           0.000          34.729           0.000           1.653          10.302           0.000           0.000           0.000          26.731           5.200           0.000           0.000
     93.4300000        6.116000         1135.43           38.76         0.02805           16.70           3.163           0.000           0.000          35.412           0.000           1.653          10.302           0.000           0.000           0.000          26.757           5.210           0.000           0.000
     93.4300000        6.122000         1141.88           35.28         0.02805           16.68           1.813           0.000           0.000          36.083           0.000           1.654          10.302           0.000           0.000           0.000          26.779           5.220           0.000           0.000
     93.4300000        6.128000         1148.20           31.98         0.02805           16.67           2.798           0.000           0.000          36.753           0.000           1.653          10.302           0.000           0.000           0.000          26.800           5.228           0.000           0.000
     93.4300000        6.134000         1154.39           28.89         0.02769           17.19           3.550           0.000           0.000          37.413           0.000           1.653          10.302           0.000           0.000           0.000          26.822           5.235           0.000           0.000
     93.4300000        6.140000         1160.46           26.11         0.02781           16.72           7.728           0.000           0.000          38.072           0.000           1.653          10.302           0.000           0.000           0.000          26.836           5.240           0.000           0.000
     93.4300000        6.146000         1166.40           23.43         0.02776           16.72           3.873           0.000           0.000          38.715           0.000           1.653          10.302           0.000           0.000           0.000          26.853           5.247           0.000           0.000
     93.4300000        6.152000         1172.24           21.00         0.02793           16.46           3.560           0.000           0.000          39.356           0.000           1.653          10.302           0.000           0.000           0.000          26.869           5.252           0.000           0.000
     93.4300000        6.158000         1177.96           18.71         0.02805           16.31           5.324           0.000           0.000          39.993           0.000           1.653          10.302           0.000           0.000           0.000          26.882           5.255           0.000           0.000
     93.4300000        6.164000         1183.58           16.61         0.02805           16.29           9.415           0.000           0.000          40.625           0.000           1.653          10.302           0.000           0.000           0.000          26.894           5.258           0.000           0.000
     93.4300000        6.170000         1189.11           14.69         0.02783           16.69           1.449           0.000           0.000          41.236           0.000           1.654          10.302           0.000           0.000           0.000          26.899           5.263           0.000           0.000
     93.4300000        6.176000         1194.52           12.86         0.02800           16.15           1.350           0.000           0.000          41.857           0.000           1.654          10.302           0.000           0.000           0.000          26.916           5.266           0.000           0.000
     93.4300000        6.182000         1199.84           11.23         0.02784           16.14           1.738           0.000           0.000          42.470           0.000           1.654          10.302           0.000           0.000           0.000          26.921           5.267           0.000           0.000
     93.4300000        6.188000         1205.07            9.73         0.02805           15.95           2.661           0.000           0.000          43.080           0.000           1.654          10.302           0.000           0.000           0.000          26.927           5.268           0.000           0.000
     93.4300000        6.194000         1210.22            8.35         0.02805           15.83           2.360           0.000           0.000          43.682           0.000           1.654          10.302           0.000           0.000           0.000          26.932           5.268           0.000           0.000
     93.4309901        5.600000          637.13           59.99         0.02810            3.87           2.225           0.000           0.000           0.000           0.000           1.654          10.302           0.000           0.000           0.000          23.263           4.441           0.000           0.000
     93.4309901        5.606000          637.60           64.12         0.02807            3.90           4.136           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          23.241           4.402           0.000           0.000
     93.4309901        5.612000          638.37           68.51         0.02809            4.16           9.722           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          23.252           4.365           0.000           0.000
     93.4309901        5.618000          639.35           65.25         0.02810            4.08           1.012           0.000           0.000           1.165           0.000           1.655          10.302           0.000           0.000           0.000          23.315           4.422           0.000           0.000
     93.4309901        5.624000          639.94           67.18         0.02810            4.15           8.386           0.000           0.000           1.231           0.000           1.653          10.302           0.000           0.000           0.000          23.330           4.410           0.000           0.000
     93.4309901        5.630000          640.64           69.03         0.02810            4.19           6.439           0.000           0.000           1.294           0.000           1.653          10.302           0.000           0.000           0.000          23.351           4.404           0.000           0.000
     93.4309901        5.636000          641.43           71.09         0.02810            4.30           3.676           0.000           0.000           1.354           0.000           1.653          10.302           0.000           0.000           0.000          23.361           4.397           0.000           0.000
     93.4309901        5.642000          642.33           73.08         0.02810            4.38           6.094           0.000           0.000           1.424           0.000           1.653          10.302           0.000           0.000           0.000          23.376           4.389           0.000           0.000
     93.4309901        5.648000          643.33           75.16         0.02810            4.43           4.065           0.000           0.000           1.491           0.000           1.653          10.302           0.000           0.000           0.000          23.392           4.383           0.000           0.000
     93.4309901        5.654000          644.43           77.24         0.02810            4.50           2.219           0.000           0.000           1.562           0.000           1.654          10.302           0.000           0.000           0.000          23.407           4.377           0.000           0.000
     93.4309901        5.660000          645.64           79.18         0.02810            4.57           2.713           0.000           0.000           1.644           0.000           1.653          10.302           0.000           0.000           0.000          23.422           4.372           0.000           0.000
     93.4309901        5.666000          646.95           81.50         0.02810            4.66           4.627           0.000           0.000           1.721           0.000           1.653          10.302           0.000           0.000           0.000          23.438           4.363           0.000           0.000
     93.4309901        5.672000          648.37           83.67         0.02809            4.74           5.714           0.000           0.000           1.806           0.000           1.653          10.302           0.000           0.000           0.000          23.453           4.356           0.000           0.000
     93.4309901        5.678000          649.90           85.94         0.02808            4.82           2.159           0.000           0.000           1.887           0.000           1.654          10.302           0.000           0.000           0.000          23.469           4.352           0.000           0.000
     93.4309901        5.684000          651.53           88.15         0.02810            4.91           1.464           0.000           0.000           1.977           0.000           1.654          10.302           0.000           0.000           0.000          23.483           4.347           0.000           0.000
     93.4309901        5.690000          653.28           90.55         0.02809            4.98           1.537           0.000           0.000           2.069           0.000           1.654          10.302           0.000           0.000           0.000          23.498           4.340           0.000           0.000
     93.4309901        5.696000          655.14           92.85         0.02809            5.11           6.740           0.000           0.000           2.175           0.000           1.653          10.302           0.000           0.000           0.000          23.513           4.331           0.000           0.000
     93.4309901        5.702000          657.11           95.21         0.02810            5.10           8.030           0.000           0.000           2.279           0.000           1.653          10.302           0.000           0.000           0.000          23.528           4.326           0.000           0.000
     93.4309901        5.708000          659.20           97.56         0.02810            5.18           1.634           0.000           0.000           2.379           0.000           1.654          10.302           0.000           0.000           0.000          23.543           4.325           0.000           0.000
     93.4309901        5.714000          661.40          100.42         0.02810            5.29           1.463           0.000           0.000           2.479           0.000           1.654          10.302           0.000           0.000           0.000          23.555           4.316           0.000           0.000
     93.4309901        5.720000          663.72          102.49         0.02809            5.38           4.737           0.000           0.000           2.611           0.000           1.653          10.302           0.000           0.000           0.000          23.571           4.312           0.000           0.000
     93.4309901        5.726000          666.17          104.86         0.02809            5.61           1.148           0.000           0.000           2.728           0.000           1.655          10.302           0.000           0.000           0.000          23.588           4.312           0.000           0.000
     93.4309901        5.732000          668.72          107.59         0.02807            5.60           4.052           0.000           0.000           2.857           0.000           1.653          10.302           0.000           0.000           0.000          23.603           4.304           0.000           0.000
     93.4309901        5.738000          671.40          110.24         0.02809            5.67           3.343           0.000           0.000           2.985           0.000           1.653          10.302           0.000           0.000           0.000          23.617           4.299           0.000           0.000
     93.4309901        5.744000          674.21          112.84         0.02809            5.77           3.838           0.000           0.000           3.124           0.000           1.653          10.302           0.000           0.000           0.000          23.633           4.295           0.000           0.000
     93.4309901        5.750000          677.14          115.52         0.02809            5.86           9.358           0.000           0.000           3.271           0.000           1.653          10.302           0.000           0.000           0.000          23.647           4.289           0.000           0.000
     93.4309901        5.756000          680.20          118.24         0.02807            5.97           8.273           0.000           0.000           3.418           0.000           1.653          10.302           0.000           0.000           0.000          23.662           4.286           0.000           0.000
     93.4309901        5.762000          683.38          120.98         0.02809            6.05           5.233           0.000           0.000           3.570           0.000           1.653          10.302           0.000           0.000           0.000          23.677           4.284           0.000           0.000
     93.4309901        5.768000          686.70          123.85         0.02809            6.12           1.150           0.000           0.000           3.719           0.000           1.655          10.302           0.000           0.000           0.000          23.691           4.283           0.000           0.000
     93.4309901        5.774000          690.15          126.57         0.02803            6.27           1.051           0.000           0.000           3.888           0.000           1.655          10.302           0.000           0.000           0.000          23.706           4.281           0.000           0.000
     93.4309901        5.780000          693.73          129.64         0.02809            6.35           1.110           0.000           0.000           4.057           0.000           1.655          10.302           0.000           0.000           0.000          23.723           4.277           0.000           0.000
     93.4309901        5.786000          697.44          132.43         0.02807            6.48           4.477           0.000           0.000           4.249           0.000           1.653          10.302           0.000           0.000           0.000          23.736           4.272           0.000           0.000
     93.4309901        5.792000          701.30          135.48         0.02809            6.53           1.244           0.000           0.000           4.426           0.000           1.655          10.302           0.000           0.000           0.000          23.751           4.272           0.000           0.000
     93.4309901        5.798000          705.29          138.33         0.02808            6.65           8.380           0.000           0.000           4.638           0.000           1.653          10.302           0.000           0.000           0.000          23.766           4.267           0.000           0.000
     93.4309901        5.804000          709.43          141.68         0.02809            6.67           1.020           0.000           0.000           4.818           0.000           1.655          10.302           0.000           0.000           0.000          23.776           4.268           0.000           0.000
     93.4309901        5.810000          713.70          144.47         0.02807            6.88           5.307           0.000           0.000           5.048           0.000           1.653          10.302           0.000           0.000           0.000          23.795           4.264           0.000           0.000
     93.4309901        5.816000          718.12          147.70         0.02808            6.98           4.681           0.000           0.000           5.263           0.000           1.653          10.302           0.000           0.000           0.000          23.811           4.263           0.000           0.000
     93.4309901        5.822000          722.68          150.79         0.02808            7.16           3.663           0.000           0.000           5.490           0.000           1.653          10.302           0.000           0.000           0.000          23.823           4.262           0.000           0.000
     93.4309901        5.828000          727.41          153.83         0.02808            7.23           1.203           0.000           0.000           5.724           0.000           1.655          10.302           0.000           0.000           0.000          23.841           4.265           0.000           0.000
     93.4309901        5.834000          732.28          157.11         0.02808            7.25           1.104           0.000           0.000           5.968           0.000           1.655          10.302           0.000           0.000           0.000          23.855           4.264           0.000           0.000
