             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay
      4.6700500        0.770000          721.45           83.80         0.02817            7.24           9.823           0.000           0.000           1.614           0.000           1.527          10.333           0.000           0.000           0.000           0.000           5.119           0.000           0.000
      4.6700500        0.780000          724.75           83.22         0.02817            7.41           9.798           0.000           0.000           1.518           0.000           1.527          10.333           0.000           0.000           0.000           0.000           5.129           0.000           0.000
      4.6700500        0.790000          728.19           82.65         0.02817            7.61           9.940           0.000           0.000           1.428           0.000           1.527          10.334           0.000           0.000           0.000           0.000           5.140           0.000           0.000
      4.6700500        0.800000          732.78           81.82         0.02818            7.81           2.574           0.000           0.000           1.354           0.000           1.546          10.334           0.000           0.000           0.000           1.044           5.154           0.000           0.000
      4.6700500        0.810000          735.51           81.63         0.02818            7.88           1.782           0.000           0.000           1.260           0.000           1.556          10.332           0.000           0.000           0.000           0.000           5.161           0.000           0.000
      4.6700500        0.820000          739.37           81.18         0.02818            8.05           1.577           0.000           0.000           1.183           0.000           1.560          10.331           0.000           0.000           0.000           0.000           5.172           0.000           0.000
      4.6700500        0.830000          743.35           80.75         0.02818            8.23           9.977           0.000           0.000           1.109           0.000           1.527          10.335           0.000           0.000           0.000           0.000           5.182           0.000           0.000
      4.6700500        0.840000          747.48           80.33         0.02818            8.44           4.430           0.000           0.000           1.040           0.000           1.534          10.338           0.000           0.000           0.000           0.000           5.194           0.000           0.000
      4.6700500        0.850000          750.79           79.90         0.02818            8.91           2.201           0.000           0.000           0.000           0.000           1.551          10.334           0.000           0.000           0.000           0.000           5.204           0.000           0.000
      4.6700500        0.860000          755.65           77.19         0.02818            8.19           1.800           0.000           0.000           0.000           0.000           1.556          10.333           0.000           0.000           0.000           1.398           5.253           0.000           0.000
      4.6700500        0.870000          760.05           76.29         0.02818            8.36           3.170           0.000           0.000           0.000           0.000           1.542          10.338           0.000           0.000           0.000           1.505           5.273           0.000           0.000
      4.6700500        0.880000          764.56           75.60         0.02818            8.19           8.307           0.000           0.000           0.000           0.000           1.527          10.339           0.000           0.000           0.000           1.584           5.291           0.000           0.000
      4.6700500        0.890000          769.20           75.07         0.02814            8.41           9.874           0.000           0.000           0.000           0.000           1.528          10.337           0.000           0.000           0.000           1.638           5.306           0.000           0.000
      4.6700500        0.900000          773.93           74.47         0.02818            8.50           7.532           0.000           0.000           0.000           0.000           1.527          10.340           0.000           0.000           0.000           1.711           5.324           0.000           0.000
      4.6700500        0.910000          778.77           73.93         0.02818            8.61           5.228           0.000           0.000           0.000           0.000           1.531          10.342           0.000           0.000           0.000           1.781           5.341           0.000           0.000
      4.6700500        0.920000          783.70           73.33         0.02818            9.10           9.980           0.000           0.000           0.000           0.000           1.528          10.338           0.000           0.000           0.000           1.865           5.358           0.000           0.000
      4.6700500        0.930000          788.73           72.98         0.02818            8.99           6.868           0.000           0.000           0.000           0.000           1.528          10.342           0.000           0.000           0.000           1.909           5.373           0.000           0.000
      4.6700500        0.940000          793.90           72.44         0.02818            9.00           1.042           0.000           0.000           0.000           0.000           1.572          10.331           0.000           0.000           0.000           2.001           5.392           0.000           0.000
      4.6700500        0.950000          799.10           72.00         0.02817            8.99           9.848           0.000           0.000           0.000           0.000           1.528          10.339           0.000           0.000           0.000           2.080           5.409           0.000           0.000
      4.6700500        0.960000          804.45           71.59         0.02818            9.07           1.741           0.000           0.000           0.000           0.000           1.558          10.336           0.000           0.000           0.000           2.155           5.427           0.000           0.000
      4.6700500        0.970000          809.85           71.18         0.02818            9.25           9.429           0.000           0.000           0.000           0.000           1.528          10.340           0.000           0.000           0.000           2.236           5.444           0.000           0.000
      4.6700500        0.980000          815.37           70.85         0.02819           10.17           9.811           0.000           0.000           0.000           0.000           1.528          10.340           0.000           0.000           0.000           2.299           5.460           0.000           0.000
      4.6700500        0.990000          820.98           70.53         0.02817            9.38           7.164           0.000           0.000           0.000           0.000           1.528          10.344           0.000           0.000           0.000           2.383           5.478           0.000           0.000
      4.6700500        1.000000          826.67           70.10         0.02817            9.44           9.917           0.000           0.000           0.000           0.000           1.528          10.340           0.000           0.000           0.000           2.494           5.498           0.000           0.000
      4.6700500        1.010000          832.48           69.71         0.02819            9.69           1.861           0.000           0.000           0.000           0.000           1.556          10.338           0.000           0.000           0.000           2.599           5.516           0.000           0.000
      4.6700500        1.020000          838.33           69.52         0.02819            9.65           9.892           0.000           0.000           0.000           0.000           1.528          10.341           0.000           0.000           0.000           2.666           5.533           0.000           0.000
      4.6700500        1.030000          844.30           69.22         0.02819            9.79           5.915           0.000           0.000           0.000           0.000           1.530          10.345           0.000           0.000           0.000           2.763           5.551           0.000           0.000
      4.6700500        1.040000          850.36           68.98         0.02819            9.83           2.736           0.000           0.000           0.000           0.000           1.546          10.342           0.000           0.000           0.000           2.853           5.569           0.000           0.000
      4.6700500        1.050000          856.48           68.74         0.02819            9.90           6.737           0.000           0.000           0.000           0.000           1.529          10.346           0.000           0.000           0.000           2.950           5.588           0.000           0.000
      4.6700500        1.060000          862.70           68.43         0.02818            9.51          10.000           0.000           0.000           0.000           0.000           1.529          10.342           0.000           0.000           0.000           3.080           5.608           0.000           0.000
      4.6700500        1.070000          868.99           68.37         0.02819           10.18           7.535           0.000           0.000           0.000           0.000           1.528          10.346           0.000           0.000           0.000           3.131           5.623           0.000           0.000
      4.6700500        1.080000          875.39           68.13         0.02819           10.31           2.708           0.000           0.000           0.000           0.000           1.547          10.343           0.000           0.000           0.000           3.250           5.643           0.000           0.000
      4.6700500        1.090000          881.82           68.00         0.02819           10.60           9.798           0.000           0.000           0.000           0.000           1.529          10.343           0.000           0.000           0.000           3.339           5.660           0.000           0.000
      4.6700535        0.100000          790.07          291.21         0.02812            2.74           1.000           0.000           0.000          38.641           0.000           1.571          10.305           0.000           0.000           0.000           0.000           4.188           0.000           0.000
      4.6700535        0.110000          783.01          285.21         0.02814            2.90           9.273           0.000           0.000          37.254           0.000           1.525          10.306           0.000           0.000           0.000           0.000           4.192           0.000           0.000
      4.6700535        0.120000          776.12          279.25         0.02814            2.96           9.143           0.000           0.000          35.885           0.000           1.525          10.307           0.000           0.000           0.000           0.000           4.199           0.000           0.000
      4.6700535        0.130000          769.35          273.37         0.02814            3.06           9.713           0.000           0.000          34.530           0.000           1.526          10.307           0.000           0.000           0.000           0.000           4.206           0.000           0.000
      4.6700535        0.140000          762.71          267.59         0.02814            3.06           7.550           0.000           0.000          33.194           0.000           1.525          10.308           0.000           0.000           0.000           0.000           4.214           0.000           0.000
      4.6700535        0.150000          756.21          261.83         0.02814            3.08           6.579           0.000           0.000          31.886           0.000           1.526          10.309           0.000           0.000           0.000           0.000           4.222           0.000           0.000
      4.6700535        0.160000          749.88          256.18         0.02814            3.14           1.916           0.000           0.000          30.599           0.000           1.553          10.308           0.000           0.000           0.000           0.000           4.230           0.000           0.000
      4.6700535        0.170000          743.64          250.60         0.02814            3.18           9.953           0.000           0.000          29.342           0.000           1.526          10.309           0.000           0.000           0.000           0.000           4.239           0.000           0.000
